# UHF-band calibrators, all usable on core, most on all baselines, some variable,
J1331+3030 | 3C286, radec bpcal,13:31:08.2881,+30:30:32.959,(50. 50000. 0.0181 1.5920 -0.5011 0.0357)
J1347+1217 | 1345+125, radec gaincal,13:47:33.3616,+12:17:24.240,(333. 99000. 1.4389 -0.2156 0.0345 -0.0130)
J1424-4913 | 1421-490, radec gaincal,14:24:32.2373,-49:13:49.744,(145. 99000. 6.0550 -4.1963 1.1975 -0.1218)
J1427-4206 | 1424-418, radec gaincal,14:27:56.2976,-42:06:19.438, ()
J1501-3918 | 1458-391, radec gaincal,15:01:34.7584,-39:18:39.428,(408. 20000. 5.7026 -3.9782 1.1342 -0.1271)
J1517-2422 | ApLib, radec gaincal,15:17:41.8131,-24:22:19.476, ()
J1550+0527 | 1548+056, radec gaincal,15:50:35.2692,+05:27:10.448, ()
J1605-1734 | 1602-174, radec gaincal,16:05:2.1926,-17:34:14.406, ()
J1609+2641 | CTD93, radec bpcal,16:09:13.3207,+26:41:29.036,(318. 10695. -20.1510 17.1277 -4.4962 0.3670)
J1619-8418 | 1607-841, radec gaincal,16:19:33.97,-84:18:19.1,(145. 20000. 2.0880 -0.3067 -0.0602 -0.0109)
J1726-5529 | 1722-554, radec gaincal,17:26:49.6270,-55:29:40.464,(408. 20000. -22.9922 19.0166 -4.8335 0.3765)
J1733-1304 | NRAO530, radec gaincal,17:33:2.7058,-13:04:49.548,(408. 99000. -0.1038 1.0514 -0.3499 0.0322)
J1744-5144 | 1740-517, radec bpcal,17:44:25.4549,-51:44:43.740,(145. 99000. -3.6941 2.7447 -0.3655 -0.015)
J1818-5158 | 1814-519, radec gaincal, 18:18:06.96, -51:58:09.6, (145 20000 2.9809 -0.7639 0.1118 -0.0361)
J1819-6345 | 1814-637, radec gaincal, 18:19:35.00292774, -63:45:48.2098039, ()
J1830-3602 | 1827-360, radec gaincal,18:30:58.8829,-36:02:30.132,(333. 22000. 0.4218 1.4761 -0.4243 0.0002)
J1833-2103 | 1830-210, radec gaincal,18:33:39.9150,-21:03:40.050, ()
J1835-7149 | 1829-718, radec gaincal, 18:35:37.20374085, -71:49:58.2188048, ()
J1859-6615 | 1854-663, radec gaincal,18:59:57.94,-66:15:02.3,(145. 20000. -5.3678 5.9491 -1.7969 0.1492)
J1911-2006 | 1908-201, radec gaincal,19:11:9.6529,-20:06:55.109, ()
J1924-2914 | OV-236, radec gaincal,19:24:51.0560,-29:14:30.121, ()
J1937-5838 | 1933-587, radec gaincal, 19:37:32.396370864, -58:38:27.95798040, ()
J1939-6342 | 1934-638, radec bpcal,19:39:25.0264,-63:42:45.625,(408. 8640. -30.7667 26.4908 -7.0977 0.605334)
J2052-3640 | 2049-368, radec gaincal,20:52:17.49,-36:40:29.5, ()
J2056-4714 | 2052-474, radec gaincal, 20:56:16.35980507, -47:14:47.6277179, ()
J2130+0502 | 2128+048, radec gaincal,21:30:32.8774,+05:02:17.475, ()
J2131-2036 | 2128-208, radec gaincal,21:31:1.4762,-20:36:56.157,(74.  20000. 2.9655 -1.1589 0.2196 -0.0380)
J2148+0657 | 2145+067, radec gaincal,21:48:5.4587,+06:57:38.604, ()
J2152-2828 | 2149-287, radec gaincal,21:52:3.7352,-28:28:28.218,(74.  20000. -1.3470 2.4134 -0.7681 0.0596)
J2158-1501 | 2155-152, radec gaincal,21:58:6.2819,-15:01:9.328, ()
J2205-5517 | 2201-555, radec gaincal, 22:05:04.880, -55:17:43.90, ()
J2206-1835 | 2203-188, radec gaincal,22:06:10.4181,-18:35:38.728,(145. 99000. 2.1847 -0.7118 0.1563 -0.0215)
J2212+0152 | 2210+016, radec gaincal,22:12:37.9736,+01:52:51.191,(145. 11200. 1.3836 -0.7264 0.3491 -0.0681)
J2225-0457 | 3C446, radec bpcal,22:25:47.2593,-04:57:1.391, ()
J2229-3823 | 2226-386, radec gaincal,22:29:46.897,-38:23:59.65, ()
J2232+1143 | CTA102, radec gaincal,22:32:36.4089,+11:43:50.904, ()
J2253+1608 | 3C454.3, radec gaincal,22:53:57.7479,+16:08:53.561, ()
J2254+2445 | 2251+244, radec gaincal,22:54:9.3419,+24:45:23.423, ()
J2302-3718 | 2259-375, radec gaincal,23:02:23.8882,-37:18:6.832, ()
J2314-4455 | 2311-452, radec gaincal,23:14:9.3827,-44:55:49.238, ()
J2326-4027 | 2323-407, radec gaincal, 23:26:34.17480,  -40:27:15.8510, ()
J2329-4730 | 2326-477, radec gaincal,23:29:17.7043,-47:30:19.115, ()
J2341-3506 | 2339-353, radec gaincal,23:41:45.8910,-35:06:22.130,(80.  20000. -1.6575 3.4649 -1.2586 0.1128)
